# Selection   : all
# Cells       : 440
# Volume      : 7.374263e+01
# Time        	maxMag(U)
44.7          	2.821843e+00
44.75         	2.810773e+00
44.8          	2.798649e+00
44.85         	2.834345e+00
44.9          	2.867246e+00
44.95         	2.889610e+00
45            	2.901377e+00
45.05         	2.904100e+00
45.1          	2.900107e+00
45.15         	2.890953e+00
45.2          	2.878674e+00
45.25         	2.865223e+00
45.3          	2.851475e+00
45.35         	2.838155e+00
45.4          	2.828774e+00
45.45         	2.845468e+00
45.5          	2.861047e+00
45.55         	2.875279e+00
45.6          	2.888285e+00
45.65         	2.899208e+00
45.7          	2.908187e+00
45.75         	2.914754e+00
45.8          	2.919376e+00
45.85         	2.921835e+00
45.9          	2.921654e+00
45.95         	2.919154e+00
46            	2.914236e+00
46.05         	2.906883e+00
46.1          	2.897398e+00
46.15         	2.885867e+00
46.2          	2.871996e+00
46.25         	2.855654e+00
46.3          	2.837313e+00
46.35         	2.817184e+00
46.4          	2.795007e+00
46.45         	2.771998e+00
46.5          	2.762699e+00
46.55         	2.770295e+00
46.6          	2.777641e+00
46.65         	2.784665e+00
46.7          	2.791292e+00
46.75         	2.797770e+00
46.8          	2.803905e+00
46.85         	2.809528e+00
46.9          	2.814616e+00
46.95         	2.819076e+00
47            	2.822660e+00
47.05         	2.825617e+00
47.1          	2.827996e+00
47.15         	2.829750e+00
47.2          	2.830763e+00
47.25         	2.830995e+00
47.3          	2.830525e+00
47.35         	2.829899e+00
47.4          	2.828962e+00
47.45         	2.827567e+00
47.5          	2.825712e+00
47.55         	2.823214e+00
47.6          	2.819590e+00
47.65         	2.815586e+00
47.7          	2.811144e+00
47.75         	2.806048e+00
47.8          	2.800187e+00
47.85         	2.798323e+00
47.9          	2.796290e+00
47.95         	2.793804e+00
48            	2.790919e+00
48.05         	2.787635e+00
48.1          	2.783841e+00
48.15         	2.779474e+00
48.2          	2.774439e+00
48.25         	2.768775e+00
48.3          	2.762496e+00
48.35         	2.755707e+00
48.4          	2.748813e+00
48.45         	2.741705e+00
48.5          	2.739003e+00
48.55         	2.745820e+00
48.6          	2.751771e+00
48.65         	2.757023e+00
48.7          	2.762395e+00
48.75         	2.767655e+00
48.8          	2.772674e+00
48.85         	2.777416e+00
48.9          	2.782235e+00
48.95         	2.787311e+00
49            	2.792705e+00
49.05         	2.798324e+00
49.1          	2.804258e+00
49.15         	2.810498e+00
49.2          	2.816776e+00
49.25         	2.823270e+00
49.3          	2.829780e+00
49.35         	2.836037e+00
49.4          	2.841668e+00
49.45         	2.846449e+00
49.5          	2.850371e+00
49.55         	2.853300e+00
49.6          	2.855109e+00
49.65         	2.855720e+00
49.7          	2.855365e+00
49.75         	2.854342e+00
49.8          	2.853039e+00
49.85         	2.851855e+00
49.9          	2.851034e+00
49.95         	2.870906e+00
50            	2.915800e+00
50.05         	2.912390e+00
50.1          	2.866146e+00
50.15         	2.951606e+00
50.2          	3.014003e+00
50.25         	3.015040e+00
50.3          	2.961808e+00
50.35         	2.864873e+00
50.4          	2.859218e+00
50.45         	2.856684e+00
50.5          	2.852504e+00
50.55         	2.846630e+00
50.6          	2.839048e+00
50.65         	2.829897e+00
50.7          	2.819349e+00
50.75         	2.807737e+00
50.8          	2.823400e+00
50.85         	2.865284e+00
50.9          	2.894043e+00
50.95         	2.911491e+00
51            	2.917857e+00
51.05         	2.915109e+00
51.1          	2.905671e+00
51.15         	2.891636e+00
